keyid	paymentType	payment	fee	extended_payment	info	TRANSACTIONID
	CREDIT	100.00	3.00	$103.00 	8844	10040-KNX
	CHECK	205.00		$390.00 	908	10042-KNX
	CHECK	200.00		$200.00 	333	10044-KNX
	CHECK	100.00		$100.00 	915	10044-KNX
	CASH	35.00		$35.00 	CASH	10044-KNX
	CASH	5.00		$5.00 	CASH	10044-KNX
	CHECK	20.00		$20.00 	1006	10048-KNX
	CASH	10.00		$10.00 	CASH	10048-KNX
	CASH	5.00		$5.00 	CASH	10048-KNX
	CASH	25.00		$25.00 	CASH	10051-KNX
	CASH	20.00		$20.00 	CASH	10051-KNX
	CHECK	175.00		$175.00 	1038	10059-KNX
	CHECK	150.00		$150.00 	1112	10081-KNX
	CHECK	20.00		$20.00 	3445	10081-KNX
	CASH	100.00		$100.00 	CASH	10081-KNX
	CREDIT	35.00	1.05	$36.05 	8844	10081-KNX
	CHECK	20.00		$20.00 	1150	10085-KNX
	CHECK	100.00		$100.00 	5654	10085-KNX
	CREDIT	5.00	0.15	$5.15 	7788	10085-KNX
	CHECK	400.00		$400.00 	1691	10135-KNX
	CASH	20.00		$20.00 	CASH	10135-KNX
	CREDIT	35.00	1.05	$36.05 	8844	10135-KNX
	CREDIT	100.00	3.00	$103.00 	7788	10135-KNX
	CHECK	100.00		$100.00 	3147	10229-KNX
	CHECK	35.00		$35.00 	5646	10229-KNX
	CASH	5.00		$5.00 	CASH	10229-KNX
	CHECK	200.00		$200.00 	4228	10292-KNX
	CHECK	5.00		$5.00 	4228	10292-KNX
	CREDIT	35.00	1.05	$36.05 	9993	10292-KNX
	CASH	100.00		$100.00 	CASH	10292-KNX
	CREDIT	20.00	0.60	$20.60 	7788	10292-KNX
	CHECK	100.00		$100.00 	323	10462-KNX
	CHECK	20.00		$20.00 	7973	10462-KNX
	CASH	100.00		$100.00 	CASH	10462-KNX
	CASH	5.00		$5.00 	CASH	10462-KNX
	CREDIT	35.00	1.05	$36.05 	7788	10462-KNX
	CHECK	150.00		$150.00 	16794	10503-KNX
	CHECK	100.00		$100.00 	16795	10504-KNX
	CREDIT	170.00	5.10	$175.10 	9993	10505-KNX
	CREDIT	220.00	6.60	$226.60 	9993	10507-KNX
	CREDIT	120.00	3.60	$123.60 	9993	10508-KNX
	CREDIT	185.00	5.55	$190.55 	8844	10508-KNX
	CREDIT	420.00	12.60	$432.60 	9993	10509-KNX
	CREDIT	220.00	6.60	$226.60 	9993	10510-KNX
	CREDIT	200.00	6.00	$206.00 	8844	10510-KNX
	CREDIT	330.00	9.90	$339.90 	9993	10511-KNX
	CREDIT	20.00	0.60	$20.60 	9993	10513-KNX
	CASH	135.00		$135.00 	CASH	10518-KNX
	CASH	20.00		$20.00 	CASH	10519-KNX
	CASH	240.00		$240.00 	CASH	10528-KNX
	CASH	140.00		$140.00 	CASH	10528-KNX
	CASH	20.00		$20.00 	CASH	10603-KNX
	CASH	55.00		$55.00 	CASH	10608-KNX
	CASH	55.00		$55.00 	CASH	10609-KNX
	CREDIT	120.00	3.60	$123.60 	4444	10630-KNX
	CREDIT	5.00	0.15	$5.15 	3333	10631-KNX
	CREDIT	20.00	0.60	$20.60 	222	10631-KNX
	CREDIT	20.00	0.60	$20.60 	8844	10640-KNX
	CREDIT	205.00	6.15	$211.15 	7788	10640-KNX
	NA	0.00		$0.00 	NA	10649-KNX
	NA	0.00		$0.00 	NA	10650-KNX
	CREDIT	125.00	3.75	$128.75 	7788	10700-KNX
	CREDIT	120.00	16.35	$136.35 	7788	10701-KNX
						
			 			
